year,odometer,cylinders,fuel,manufacture,drive,paint,price,transmission
1990,100,8,0.0,ford,rwd,red,8800,0.0
2018,30,4,0.0,ford,rwd,black,21350,0.0
2016,125000,6,0.0,ram,4wd,white,40000,1.0
2013,94547,NaN,0.0,ford,fwd,black,9995,0.0
2016,92589,NaN,0.0,bmw,rwd,NaN,313,0.0
2006,93612,NaN,NaN,toyota,NaN,NaN,14988,NaN
2014,120885,NaN,0.0,bmw,NaN,black,NaN,0.0
2017,49000,6,0.0,jeep,4wd,custom,36999,0.0
2022,6000,NaN,1.0,tesla,NaN,blue,65999,1.0
2016,101209,6,0.0,NaN,4wd,NaN,49950,1.0
2017,96734,4,0.0,hyundai,NaN,NaN,17995,0.0
1999,77317,8,0.0,lincoln,rwd,custom,7995,0.0
2015,47500,4,0.0,vw,fwd,black,9999,0.0
1955,39000,8,0.0,NaN,rwd,white,47500,0.0
2018,57585,NaN,0.0,volvo,NaN,NaN,NaN,0.0
2019,126046,NaN,0.0,ford,NaN,NaN,NaN,0.0
2006,204316,8,0.0,NaN,4wd,NaN,27950,0.0
2018,80000,6,0.0,bmw,rwd,grey,23040,0.0
2018,42700,6,0.0,audi,4wd,NaN,38000,1.0
2011,180600,6,0.0,infiniti,4wd,NaN,8000,1.0
2011,141049,4,0.0,ford,fwd,NaN,6300,1.0
2006,110863,4,0.0,saturn,fwd,silver,5814,1.0
2020,38580,4,0.0,honda,NaN,NaN,25771,1.0
2020,42557,4,0.0,honda,fwd,NaN,26998,1.0
NaN,70397,8,NaN,NaN,rwd,NaN,36687,0.0
2016,68638,NaN,NaN,buick,NaN,NaN,13988,NaN
2019,22366,NaN,0.0,dodge,rwd,NaN,NaN,0.0
2008,78942,8,0.0,NaN,4wd,NaN,16950,1.0
2013,158646,NaN,0.0,ford,NaN,NaN,9995,0.0
2016,70104,6,0.0,honda,fwd,NaN,23988,0.0
2017,106350,NaN,0.0,mini,4wd,NaN,253,0.0
2017,47064,4,0.0,lexus,fwd,NaN,29883,0.0
2013,79,4,1.0,ford,fwd,red,9800,0.0
2016,82369,NaN,0.0,chevrolet,fwd,white,NaN,0.0
2007,102350,8,0.0,NaN,4wd,NaN,37950,0.0
NaN,63229,6,0.0,NaN,NaN,black,31987,0.0
2021,61553,NaN,0.0,gmc,fwd,black,21408,0.0
2020,61423,NaN,0.0,mazda,4wd,silver,22585,0.0
2020,61948,NaN,0.0,volkswagen,4wd,black,21075,0.0
2011,123920,8,0.0,NaN,4wd,NaN,22950,0.0
2022,2500,NaN,1.0,NaN,NaN,NaN,NaN,1.0
2007,143000,6,0.0,acura,4wd,green,5500,0.0
NaN,63276,4,0.0,NaN,4wd,silver,29985,1.0
2010,102733,NaN,0.0,audi,NaN,NaN,11995,0.0
2020,50352,6,0.0,nissan,4wd,grey,21995,0.0
2016,103000,8,0.0,ford,4wd,red,40000,0.0
2018,45838,4,0.0,subaru,4wd,silver,24995,0.0
2014,75000,6,0.0,NaN,rwd,white,16000,0.0
2006,190000,NaN,0.0,ford,NaN,NaN,4800,0.0
2019,15222,6,0.0,ford,4wd,blue,28995,0.0
2019,21122,4,0.0,mazda,4wd,black,20995,0.0
2002,59000,6,0.0,chrysler,fwd,silver,8500,0.0
2017,39996,4,0.0,subaru,4wd,blue,22995,0.0
2017,39996,4,0.0,subaru,4wd,blue,22995,0.0
2019,31061,4,0.0,subaru,4wd,blue,20995,0.0
2016,117286,4,0.0,mazda,fwd,NaN,11995,1.0
2016,29650,6,0.0,lexus,fwd,white,29995,0.0
2011,166000,NaN,0.0,lexus,NaN,NaN,13500,0.0
2015,140000,4,0.0,kia,NaN,NaN,5400,1.0
2003,108201,8,0.0,NaN,4wd,NaN,23950,0.0
2007,104544,8,0.0,dodge,4wd,NaN,14999,0.0
2004,73934,8,0.0,chevrolet,4wd,NaN,14999,0.0
2008,190000,8,0.0,gmc,4wd,NaN,7800,0.0
2011,78000,6,0.0,lexus,rwd,black,14000,0.0
2019,17800,8,0.0,ram,rwd,white,32990,0.0
2014,93100,NaN,0.0,subaru,NaN,NaN,11900,0.0
2006,160000,4,0.0,honda,NaN,silver,6500,1.0
2008,124799,8,0.0,ford,rwd,white,11900,0.0
2012,140000,4,0.0,ford,NaN,NaN,4800,1.0
2002,140500,8,0.0,lexus,rwd,white,10500,0.0
2013,132560,NaN,0.0,NaN,NaN,black,NaN,0.0
2011,99838,6,0.0,honda,4wd,white,18000,0.0
2012,96128,8,0.0,bmw,4wd,grey,14450,0.0
2005,179000,6,0.0,toyota,NaN,NaN,4900,0.0
