year,odometer,cylinders,fuel,manufacture,drive,paint,price,transmission
2013.0,100000.0,,0.0,ford,,white,4500.0,0.0
2014.0,163000.0,4.0,0.0,bmw,4wd,white,8975.0,0.0
2015.0,57943.0,8.0,0.0,chevrolet,rwd,white,29495.0,0.0
2004.0,103211.0,6.0,0.0,toyota,rwd,white,12800.0,0.0
2013.0,137490.0,6.0,0.0,toyota,rwd,brown,24995.0,0.0
2013.0,92286.0,6.0,0.0,nissan,rwd,silver,20995.0,0.0
2018.0,51542.0,4.0,1.0,chevrolet,fwd,blue,25842.0,0.0
2010.0,146746.0,6.0,0.0,toyota,rwd,black,19995.0,0.0
2017.0,60747.0,,0.0,jeep,,black,21995.0,0.0
2015.0,70518.0,,1.0,dodge,,black,14995.0,0.0
2016.0,54187.0,,0.0,nissan,,black,13995.0,0.0
2017.0,125381.0,,0.0,,,white,12995.0,0.0
2007.0,109233.0,,0.0,dodge,,black,7995.0,0.0
2012.0,189100.0,8.0,0.0,ford,4wd,,12500.0,0.0
2006.0,154765.0,6.0,0.0,land,4wd,black,4700.0,0.0
1973.0,94404.0,8.0,0.0,pontiac,rwd,yellow,6500.0,0.0
2022.0,16986.0,,0.0,volkswagen,,white,24990.0,0.0
2003.0,190000.0,4.0,0.0,acura,,grey,5000.0,0.0
2008.0,66565.0,,0.0,volvo,,blue,7000.0,0.0
2010.0,83926.0,6.0,0.0,honda,4wd,silver,11900.0,0.0
2004.0,176289.0,4.0,0.0,honda,fwd,black,4999.0,1.0
2008.0,122210.0,,0.0,cadillac,4wd,,11995.0,0.0
2020.0,71605.0,4.0,0.0,nissan,fwd,grey,14900.0,0.0
2005.0,150000.0,,0.0,dodge,,,1550.0,0.0
2021.0,22000.0,,0.0,subaru,4wd,,19999.0,0.0
2016.0,86000.0,8.0,0.0,,rwd,white,13800.0,0.0
2014.0,93588.0,4.0,1.0,ford,fwd,blue,9850.0,0.0
2006.0,198465.0,4.0,0.0,toyota,,,3500.0,0.0
2009.0,142000.0,,0.0,bmw,,,6295.0,0.0
2015.0,66951.0,,1.0,,fwd,,,0.0
2005.0,130000.0,6.0,0.0,honda,4wd,white,5300.0,0.0
2021.0,8880.0,4.0,0.0,honda,fwd,black,29500.0,0.0
2005.0,81105.0,6.0,0.0,ford,fwd,white,2500.0,0.0
2019.0,30628.0,,1.0,tesla,,white,80000.0,0.0
2011.0,189000.0,6.0,0.0,nissan,fwd,silver,4850.0,0.0
2013.0,82500.0,,0.0,,,white,9800.0,0.0
2013.0,82500.0,,0.0,mini,,white,9750.0,0.0
1980.0,83500.0,8.0,0.0,,rwd,brown,26500.0,0.0
2003.0,140000.0,8.0,0.0,toyota,rwd,silver,5500.0,0.0
2014.0,163000.0,4.0,0.0,bmw,4wd,white,8975.0,0.0
2007.0,178000.0,4.0,0.0,honda,fwd,grey,5500.0,0.0
2018.0,84131.0,,0.0,ford,fwd,,,0.0
2008.0,150000.0,6.0,0.0,bmw,4wd,brown,7400.0,0.0
1997.0,71000.0,,0.0,,,,4300.0,0.0
2021.0,33026.0,,1.0,ford,,white,,0.0
2021.0,47910.0,,0.0,toyota,,silver,33836.0,0.0
2015.0,60163.0,,0.0,subaru,rwd,silver,,0.0
2015.0,89683.0,,0.0,mazda,fwd,,13995.0,1.0
2014.0,163000.0,4.0,0.0,bmw,4wd,white,8975.0,0.0
2006.0,156000.0,4.0,0.0,honda,,grey,4700.0,0.0
2012.0,170000.0,,0.0,ford,,,8900.0,0.0
2012.0,129100.0,4.0,0.0,mazda,fwd,black,4999.0,0.0
2006.0,95000.0,6.0,0.0,jeep,,brown,7000.0,0.0
2012.0,151000.0,6.0,0.0,,,grey,11900.0,0.0
2015.0,101726.0,6.0,0.0,chevrolet,rwd,silver,14995.0,0.0
2000.0,160000.0,,0.0,,rwd,blue,6950.0,1.0
2013.0,133750.0,4.0,0.0,honda,,white,7500.0,0.0
1980.0,95000.0,8.0,0.0,mercedes,,,12000.0,0.0
2021.0,13152.0,6.0,0.0,,4wd,grey,28000.0,0.0
2021.0,27000.0,,1.0,tesla,4wd,white,39890.0,1.0
2014.0,71348.0,,0.0,,,,,0.0
2010.0,130000.0,8.0,0.0,,,white,11500.0,0.0
